Abbreviation,Meaning
aal,above airfield level
ACAS,Airborne Collision Avoidance System
ACARS,Automatic Communications And Reporting System
ADF,Automatic Direction Finding equipment
AFIS(O),Aerodrome Flight Information Service (Officer)
agl,above ground level
AIC,Aeronautical Information Circular
amsl,above mean sea level
AOM,Aerodrome Operating Minima
APU,Auxiliary Power Unit
ASI,airspeed indicator
ATC(C)(O),Air Traffic Control (Centre)( Officer)
ATIS,Automatic Terminal Information Service
ATPL,Airline Transport Pilot’s Licence
BMAA,British Microlight Aircraft Association
BGA,British Gliding Association
BBAC,British Balloon and Airship Club
BHPA,British Hang Gliding & Paragliding Association
CAA,Civil Aviation Authority
CAVOK,Ceiling And Visibility OK (for VFR flight)
CAS,calibrated airspeed
cc,cubic centimetres
CG,Centre of Gravity
cm,centimetre(s)
CPL,Commercial Pilot’s Licence
"°C,F,M,T","Celsius, Fahrenheit, magnetic, true"
CVR,Cockpit Voice Recorder
DME,Distance Measuring Equipment
EAS,equivalent airspeed
EASA,European Union Aviation Safety Agency
ECAM,Electronic Centralised Aircraft Monitoring
EGPWS,Enhanced GPWS
EGT,Exhaust Gas Temperature
EICAS,Engine Indication and Crew Alerting System
EPR,Engine Pressure Ratio
ETA,Estimated Time of Arrival
ETD,Estimated Time of Departure
FAA,Federal Aviation Administration (USA)
FDR,Flight Data Recorder
FIR,Flight Information Region
FL,Flight Level
ft,feet
ft/min,feet per minute
g,acceleration due to Earth’s gravity
GNSS,Global Navigation Satellite System
GPS,Global Positioning System
GPWS,Ground Proximity Warning System
hrs,hours (clock time as in 1200 hrs)
HP,high pressure
hPa,hectopascal (equivalent unit to mb)
IAS,indicated airspeed
IFR,Instrument Flight Rules
ILS,Instrument Landing System
IMC,Instrument Meteorological Conditions
IP,Intermediate Pressure
IR,Instrument Rating
ISA,International Standard Atmosphere
kg,kilogram(s)
KCAS,knots calibrated airspeed
KIAS,knots indicated airspeed
KTAS,knots true airspeed
km,kilometre(s)
kt,knot(s)
lb,pound(s)
LP,low pressure
LAA,Light Aircraft Association
LDA,Landing Distance Available
LPC,Licence Proficiency Check
m,metre(s)
mb,millibar(s)
MDA,Minimum Descent Altitude
METAR,a timed aerodrome meteorological report
min,minutes
mm,millimetre(s)
mph,miles per hour
MTWA,Maximum Total Weight Authorised
N,Newtons
NR,Main rotor rotation speed (rotorcraft)
Ng,Gas generator rotation speed (rotorcraft)
N1,engine fan or LP compressor speed
NDB,Non-Directional radio Beacon
nm,nautical mile(s)
NOTAM,Notice to Airmen
OAT,Outside Air Temperature
OPC,Operator Proficiency Check
PAPI,Precision Approach Path Indicator
PF,Pilot Flying
PIC,Pilot in Command
PM,Pilot Monitoring
POH,Pilot’s Operating Handbook
PPL,Private Pilot’s Licence
psi,pounds per square inch
QFE,altimeter pressure setting to indicate height above aerodrome
QNH,altimeter pressure setting to indicate elevation amsl
RA,Resolution Advisory
RFFS,Rescue and Fire Fighting Service
rpm,revolutions per minute
RTF,radiotelephony
RVR,Runway Visual Range
SAR,Search and Rescue
SB,Service Bulletin
SSR,Secondary Surveillance Radar
TA,Traffic Advisory
TAF,Terminal Aerodrome Forecast
TAS,true airspeed
TAWS,Terrain Awareness and Warning System
TCAS,Traffic Collision Avoidance System
TODA,Takeoff Distance Available
UA,Unmanned Aircraft
UAS,Unmanned Aircraft System
USG,US gallons
UTC,Co-ordinated Universal Time (GMT)
V,Volt(s)
V1,Takeoff decision speed
V2,Takeoff safety speed
VR,Rotation speed
VREF,Reference airspeed (approach)
VNE,Never Exceed airspeed
VASI,Visual Approach Slope Indicator
VFR,Visual Flight Rules
VHF,Very High Frequency
VMC,Visual Meteorological Conditions
VOR,VHF Omnidirectional radio Range
